emoji,meanings,emotion
😀,"happy, joy, cheerful",joy
😃,"smiling, happiness, excitement",joy
😄,"laughing, joy, delight",joy
😁,"grinning, happiness, excitement",joy
😆,"laughing hard, fun, amusement",amusement
😂,"laughing, funny, tears of joy",amusement
🤣,"rolling laughter, extreme fun",amusement
😊,"content, calm happiness, warm smile",joy
😍,"love, admiration, attraction",love
🥰,"affection, love, care",love
😘,"kiss, love, affection",love
😎,"cool, confident, relaxed",confidence
😢,"sad, upset, crying",sadness
😭,"deep sadness, crying, grief",sadness
😞,"disappointed, sad",sadness
😔,"low mood, regret",sadness
😡,"anger, frustration, rage",anger
🤬,"extreme anger, rage",anger
😠,"annoyed, angry",anger
😤,"frustration, irritation",anger
😨,"fear, anxiety, worry",fear
😱,"shock, terror, fear",fear
😰,"nervous, anxious",fear
😮,"surprise, shock",surprise
😲,"astonished, amazed",surprise
😯,unexpected surprise,surprise
🤔,"thinking, curiosity",curiosity
😐,"neutral, blank emotion",neutral
😶,"speechless, silent",neutral
😴,"sleepy, tired",fatigue
😪,"tired, sleepy",fatigue
🤩,"excited, amazed",excitement
🥳,"celebration, party, joy",joy
😇,"innocent, calm",calm
🙄,"annoyed, sarcasm",annoyance
😬,"awkward, nervous",nervousness
🤯,"mind blown, shock",surprise
😵,"confused, dizzy",confusion
